10
2 3
0 1 1
0 2 6
1 2 1
4 7
0 1 9
0 2 3
0 3 7
1 4 2
2 3 8
2 4 1
3 4 8
4 6
0 1 10
0 2 7
1 4 2
2 3 10
2 4 3
3 4 10
7 20
0 1 4
0 2 9
0 5 8
1 2 1
1 4 6
1 5 6
1 7 9
2 3 8
2 4 9
2 5 9
2 6 10
2 7 4
3 4 5
3 6 9
3 7 5
4 5 9
4 6 8
4 7 3
5 7 2
6 7 5
7 11
0 1 9
0 6 1
1 2 6
1 7 7
2 3 2
2 5 2
3 4 9
3 5 7
4 7 9
5 6 7
6 7 7
47 1026
0 1 2
0 3 2
0 4 8
0 11 6
0 13 4
0 15 9
0 16 1
0 17 9
0 19 2
0 21 4
0 22 7
0 28 1
0 29 9
0 34 4
0 38 3
0 39 9
0 42 1
0 45 7
0 47 10
1 2 7
1 3 2
1 5 5
1 6 1
1 8 6
1 9 5
1 11 3
1 12 2
1 13 8
1 14 2
1 17 1
1 18 2
1 23 9
1 24 2
1 25 9
1 28 3
1 29 9
1 30 7
1 33 6
1 34 10
1 36 2
1 37 2
1 40 7
1 42 8
1 43 6
1 44 10
1 45 8
1 47 6
2 3 3
2 5 3
2 8 5
2 10 6
2 15 6
2 16 3
2 19 9
2 20 9
2 24 4
2 25 6
2 26 5
2 28 4
2 29 1
2 33 9
2 34 2
2 35 4
2 38 1
2 43 7
2 45 7
2 46 1
2 47 3
3 4 4
3 5 6
3 6 2
3 7 10
3 8 8
3 9 2
3 10 1
3 11 4
3 12 3
3 13 5
3 14 7
3 16 6
3 17 5
3 18 4
3 19 8
3 20 3
3 21 9
3 22 9
3 23 9
3 24 8
3 26 3
3 28 4
3 29 9
3 30 7
3 31 2
3 33 7
3 34 2
3 35 1
3 36 9
3 37 10
3 38 1
3 39 9
3 40 3
3 41 9
3 42 1
3 43 8
3 44 9
3 46 8
4 5 4
4 6 9
4 7 7
4 9 4
4 12 10
4 13 2
4 15 9
4 16 9
4 19 1
4 20 4
4 21 5
4 22 6
4 23 5
4 24 7
4 25 1
4 26 8
4 29 9
4 36 2
4 38 10
4 39 6
4 40 4
4 42 4
4 43 5
4 44 7
4 45 6
4 46 7
4 47 7
5 6 6
5 7 8
5 8 3
5 9 4
5 10 3
5 11 9
5 12 1
5 13 10
5 14 1
5 15 5
5 16 4
5 17 10
5 18 1
5 19 7
5 20 6
5 21 9
5 22 7
5 23 7
5 24 6
5 25 5
5 26 2
5 27 3
5 28 2
5 29 7
5 30 9
5 31 7
5 32 1
5 33 7
5 34 2
5 35 6
5 36 7
5 37 5
5 38 3
5 39 2
5 40 4
5 41 1
5 42 5
5 43 1
5 44 9
5 46 5
6 7 3
6 8 2
6 9 8
6 10 2
6 12 7
6 13 8
6 14 6
6 16 1
6 17 3
6 18 5
6 19 3
6 20 2
6 22 3
6 23 6
6 25 3
6 26 10
6 27 7
6 28 3
6 29 9
6 30 6
6 32 6
6 33 10
6 34 8
6 35 1
6 36 5
6 37 6
6 38 8
6 39 8
6 40 9
6 41 10
6 42 1
6 44 3
6 45 5
6 46 10
6 47 2
7 8 8
7 9 5
7 10 2
7 11 9
7 12 6
7 13 9
7 14 2
7 15 4
7 16 4
7 17 4
7 18 2
7 19 4
7 20 9
7 21 1
7 22 10
7 23 3
7 24 9
7 25 10
7 26 9
7 27 7
7 28 1
7 29 10
7 30 10
7 31 5
7 32 6
7 33 6
7 34 1
7 35 10
7 36 9
7 37 6
7 38 7
7 39 8
7 40 8
7 41 5
7 42 7
7 43 10
7 44 7
7 45 7
7 46 3
7 47 5
8 9 2
8 10 10
8 11 2
8 12 2
8 13 9
8 14 1
8 15 2
8 16 6
8 17 5
8 18 4
8 19 7
8 20 9
8 21 8
8 22 4
8 23 5
8 24 5
8 25 1
8 26 1
8 27 5
8 28 10
8 29 5
8 30 6
8 31 1
8 32 9
8 33 6
8 34 8
8 35 2
8 36 2
8 37 4
8 38 6
8 39 1
8 40 5
8 41 9
8 42 1
8 43 10
8 44 7
8 45 6
8 46 3
8 47 10
9 10 4
9 11 9
9 12 6
9 13 6
9 14 10
9 15 7
9 16 1
9 17 5
9 18 6
9 19 4
9 20 10
9 21 2
9 22 3
9 23 2
9 24 4
9 25 2
9 26 8
9 27 7
9 28 4
9 29 10
9 30 9
9 31 2
9 32 8
9 33 8
9 34 5
9 35 7
9 36 3
9 37 8
9 38 1
9 39 3
9 40 7
9 41 1
9 42 2
9 43 10
9 45 3
9 46 7
9 47 10
10 11 6
10 12 5
10 13 2
10 14 8
10 15 2
10 16 7
10 17 2
10 18 1
10 19 9
10 20 5
10 21 2
10 22 1
10 23 4
10 24 6
10 25 9
10 26 8
10 27 10
10 28 10
10 29 4
10 30 10
10 31 4
10 32 4
10 33 9
10 34 5
10 35 7
10 36 1
10 37 5
10 38 10
10 39 3
10 40 2
10 41 1
10 42 4
10 43 5
10 44 9
10 45 10
10 46 8
10 47 5
11 12 10
11 13 2
11 14 10
11 15 5
11 16 10
11 17 6
11 18 9
11 19 4
11 20 1
11 21 3
11 22 9
11 23 3
11 24 7
11 25 9
11 26 5
11 27 9
11 28 3
11 29 10
11 30 5
11 31 7
11 32 6
11 33 8
11 34 6
11 35 7
11 36 7
11 37 10
11 38 10
11 39 9
11 40 3
11 41 6
11 42 4
11 43 2
11 44 10
11 45 8
11 46 1
12 13 4
12 14 5
12 15 9
12 16 2
12 17 4
12 18 10
12 19 3
12 20 8
12 21 10
12 22 5
12 23 7
12 24 7
12 25 9
12 26 1
12 27 3
12 28 3
12 29 10
12 30 6
12 31 3
12 32 2
12 33 8
12 34 5
12 35 8
12 36 1
12 37 9
12 38 7
12 39 5
12 40 7
12 41 8
12 42 8
12 43 6
12 44 3
12 45 5
12 46 7
12 47 4
13 14 3
13 15 9
13 16 4
13 17 7
13 18 5
13 19 5
13 20 4
13 21 10
13 22 6
13 23 8
13 24 6
13 25 10
13 26 9
13 27 6
13 28 4
13 29 4
13 30 4
13 31 5
13 32 9
13 33 3
13 34 5
13 35 5
13 36 7
13 37 9
13 38 4
13 39 9
13 40 1
13 41 8
13 42 10
13 43 7
13 44 2
13 45 3
13 46 7
13 47 6
14 15 2
14 16 7
14 17 1
14 18 6
14 19 6
14 20 2
14 21 2
14 22 1
14 23 10
14 24 10
14 25 6
14 26 8
14 27 4
14 28 1
14 29 5
14 30 10
14 31 4
14 32 7
14 33 2
14 34 2
14 35 9
14 36 3
14 37 3
14 38 6
14 39 2
14 40 10
14 41 4
14 42 1
14 43 9
14 44 4
14 45 8
14 46 8
14 47 6
15 16 7
15 17 4
15 18 8
15 19 2
15 20 7
15 21 5
15 22 4
15 23 4
15 24 8
15 25 7
15 26 9
15 27 7
15 28 1
15 29 2
15 30 3
15 31 1
15 32 4
15 33 3
15 34 1
15 35 8
15 36 10
15 37 6
15 38 10
15 39 10
15 40 5
15 41 6
15 42 3
15 43 9
15 44 1
15 45 1
15 46 3
15 47 5
16 17 10
16 18 6
16 19 5
16 20 4
16 21 8
16 22 9
16 23 8
16 24 8
16 25 5
16 26 5
16 27 10
16 28 7
16 29 2
16 30 1
16 31 9
16 32 7
16 33 10
16 34 4
16 35 3
16 36 1
16 37 3
16 38 3
16 39 2
16 40 9
16 41 10
16 42 3
16 43 1
16 44 8
16 45 8
16 46 4
16 47 10
17 18 3
17 19 4
17 20 7
17 21 7
17 22 6
17 23 1
17 24 2
17 25 9
17 26 10
17 27 6
17 28 4
17 29 2
17 30 7
17 31 4
17 32 1
17 33 2
17 34 2
17 35 4
17 36 10
17 37 1
17 38 10
17 39 8
17 40 8
17 41 3
17 42 10
17 43 3
17 44 3
17 45 1
17 46 3
17 47 1
18 19 9
18 20 8
18 21 1
18 22 8
18 23 6
18 24 10
18 25 9
18 26 4
18 27 4
18 28 6
18 29 7
18 30 5
18 31 3
18 32 3
18 33 9
18 34 5
18 35 7
18 36 7
18 37 6
18 38 4
18 39 7
18 40 8
18 41 5
18 42 1
18 43 1
18 44 1
18 45 10
18 46 3
18 47 1
19 20 6
19 21 5
19 22 6
19 23 9
19 24 5
19 25 6
19 26 3
19 27 1
19 28 6
19 29 9
19 30 1
19 31 2
19 32 4
19 33 8
19 34 5
19 35 10
19 36 4
19 37 1
19 38 9
19 39 2
19 40 4
19 41 1
19 42 2
19 43 7
19 44 9
19 45 4
19 46 9
19 47 9
20 21 10
20 22 7
20 23 9
20 24 10
20 25 1
20 26 10
20 27 2
20 28 10
20 29 4
20 30 5
20 31 9
20 32 3
20 33 8
20 34 4
20 35 10
20 36 10
20 37 8
20 38 4
20 39 8
20 40 10
20 41 4
20 42 9
20 43 3
20 44 6
20 45 10
20 46 8
20 47 3
21 22 10
21 23 2
21 24 3
21 25 4
21 26 8
21 27 6
21 28 7
21 29 7
21 30 9
21 31 6
21 32 9
21 33 7
21 34 10
21 35 6
21 36 2
21 37 1
21 38 2
21 39 2
21 40 6
21 41 9
21 42 2
21 43 8
21 44 7
21 45 6
21 46 10
21 47 1
22 23 10
22 24 6
22 25 3
22 26 3
22 27 6
22 28 6
22 29 7
22 30 2
22 31 6
22 32 3
22 33 3
22 34 8
22 35 3
22 36 10
22 37 8
22 38 5
22 39 9
22 40 10
22 41 7
22 42 8
22 43 7
22 44 1
22 45 1
22 46 7
22 47 10
23 24 10
23 25 9
23 26 8
23 27 4
23 28 9
23 29 9
23 30 1
23 31 4
23 32 10
23 33 10
23 34 5
23 35 1
23 36 3
23 37 1
23 38 10
23 39 10
23 40 3
23 41 2
23 42 5
23 43 4
23 44 8
23 45 5
23 46 7
23 47 9
24 25 4
24 26 8
24 27 1
24 28 10
24 29 7
24 30 3
24 31 5
24 32 2
24 33 10
24 34 3
24 35 7
24 36 6
24 37 2
24 38 9
24 39 8
24 40 10
24 41 2
24 42 6
24 43 9
24 44 9
24 45 4
24 46 9
24 47 2
25 26 9
25 27 8
25 28 5
25 29 3
25 30 10
25 31 4
25 32 3
25 33 1
25 34 8
25 35 4
25 36 6
25 37 10
25 38 4
25 39 8
25 40 1
25 41 4
25 42 4
25 43 3
25 44 10
25 45 1
25 46 3
25 47 7
26 27 3
26 28 9
26 29 5
26 30 9
26 31 2
26 32 6
26 33 10
26 34 3
26 35 8
26 36 8
26 37 7
26 38 8
26 39 6
26 40 1
26 41 8
26 42 2
26 43 7
26 44 6
26 45 6
26 46 3
26 47 4
27 28 5
27 29 10
27 30 8
27 31 2
27 32 5
27 33 4
27 34 9
27 35 6
27 36 1
27 37 1
27 38 4
27 39 4
27 40 9
27 41 6
27 42 10
27 43 8
27 44 6
27 45 10
27 46 8
27 47 6
28 29 5
28 30 1
28 31 4
28 32 1
28 33 10
28 34 6
28 35 9
28 36 3
28 37 7
28 38 1
28 39 6
28 40 3
28 41 4
28 42 10
28 43 9
28 44 4
28 45 5
28 46 10
28 47 1
29 30 8
29 31 8
29 32 2
29 33 1
29 34 8
29 35 8
29 36 4
29 37 9
29 38 1
29 39 5
29 40 5
29 41 3
